Nilai Pajak,Jenis Penerimaan Pajak,Kota/Kab,Predicted_Cluster
71035108603,Pendapatan PPh DTP,Kabupaten Minahasa,3
83486762443,PPnBM Lainnya,Kota Tomohon,0
3502279521,PPh Pasal 23,Kota Bitung,3
78371492751,PPh Pasal 23,Kabupaten Bolaang Mongondow Utara,5
82240323850,PPh Final,Kabupaten Minahasa Selatan,2
58660475091,PPh Final,Kabupaten Minahasa Tenggara,2
94860149012,PPh Pasal 21,Kabupaten Minahasa Utara,5
58715963894,PPh Pasal 25/29 OP,Kota Kotamobagu,7
15517544069,PPN Lainnya,Kabupaten Kepulauan Talaud,3
9646955329,PBB dan BPHTB,Kota Tomohon,0
91857739733,Pajak Lainnya,Kabupaten Siau Tagulandang Biaro,3
16619912714,Pajak Lainnya,Kota Tomohon,1
1248825549,PPh Migas,Kabupaten Minahasa Utara,3
81683158854,PPh Migas,Kabupaten Bolaang Mongondow Selatan,3
54652908372,PPh Migas,Kabupaten Kepulauan Talaud,3
15099205000,Pajak Lainnya,Kabupaten Minahasa Tenggara,6
12962796101,PPh Pasal 26,Kota Tomohon,1
13635321904,PPh Final,Kabupaten Minahasa Utara,2
75988850261,PPh Pasal 21,Kabupaten Minahasa Tenggara,5
27376257419,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Timur,9
80872853198,PPh Pasal 26,Kabupaten Minahasa Tenggara,3
99714111882,PPnBM Lainnya,Kota Bitung,3
51426563704,PBB dan BPHTB,Kabupaten Kepulauan Sangihe,2
29389194681,PPN Lainnya,Kabupaten Minahasa Selatan,3
22504714252,PPh Pasal 22 Impor,Kabupaten Minahasa Tenggara,6
31151607719,PPh Pasal 23,Kota Kotamobagu,3
18733784917,Pajak Lainnya,Kabupaten Bolaang Mongondow,1
24579920162,PPh Pasal 21,Kabupaten Bolaang Mongondow Selatan,5
12729026652,PPh Migas,Kota Bitung,3
70122391781,PPh Pasal 22,Kabupaten Siau Tagulandang Biaro,3
89507754828,PPh Pasal 21,Kota Bitung,5
98517548615,PPN Impor,Kabupaten Bolaang Mongondow Timur,9
91526056294,PPh Pasal 23,Kabupaten Kepulauan Talaud,3
11310826001,PPN Impor,Kota Kotamobagu,1
67520092333,PPh Pasal 22,Kabupaten Bolaang Mongondow Timur,3
7242805970,PPh Pasal 22 Impor,Kabupaten Minahasa Utara,3
32258876432,PPN Lainnya,Kota Bitung,3
16867805942,Pendapatan PPh DTP,Kabupaten Siau Tagulandang Biaro,3
19758455220,PPN Dalam Negeri,Kabupaten Siau Tagulandang Biaro,0
46044485459,PPh Pasal 22 Impor,Kabupaten Minahasa Tenggara,6
57243048135,Pendapatan PPh DTP,Kabupaten Minahasa Selatan,3
88176509078,Pendapatan PPh DTP,Kabupaten Bolaang Mongondow,1
22732443946,PPh Pasal 21,Kabupaten Bolaang Mongondow,5
94891345043,PPnBM Lainnya,Kabupaten Minahasa Selatan,3
55262486767,PPN Lainnya,Kabupaten Minahasa Utara,3
53051395087,PPh Pasal 26,Kabupaten Bolaang Mongondow Selatan,3
87090713073,PPh Pasal 22 Impor,Kabupaten Minahasa Tenggara,6
61695409968,PPN Impor,Kabupaten Bolaang Mongondow Timur,9
76403201056,Pajak Lainnya,Kota Kotamobagu,1
9487478109,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Utara,5
74719218981,PPh Pasal 21,Kabupaten Bolaang Mongondow Selatan,5
68567701056,PBB dan BPHTB,Kabupaten Bolaang Mongondow,0
37581807934,PPN Impor,Kabupaten Bolaang Mongondow Utara,5
64433427349,PPh Pasal 23,Kabupaten Bolaang Mongondow Timur,3
57027115438,Pendapatan PPh DTP,Kabupaten Minahasa Tenggara,3
52594046633,Pendapatan PPh DTP,Kabupaten Kepulauan Sangihe,2
18423822813,PPN Lainnya,Kabupaten Bolaang Mongondow Timur,9
6354434314,PPN Impor,Kota Bitung,3
74598000329,PPh Pasal 25/29 OP,Kota Tomohon,1
21836083355,PPnBM Lainnya,Kabupaten Kepulauan Talaud,3
11142226326,PPnBM Lainnya,Kota Tomohon,0
20611887067,PPN Impor,Kabupaten Bolaang Mongondow Timur,9
12095224620,PPN Impor,Kabupaten Siau Tagulandang Biaro,3
76279616080,PPh Pasal 25/29 Badan,Kabupaten Kepulauan Talaud,3
28781334472,PPh Pasal 26,Kabupaten Bolaang Mongondow Selatan,3
81614080335,PPh Final,Kabupaten Minahasa,2
66364095865,PPN Impor,Kabupaten Bolaang Mongondow,1
61446641828,PPh Pasal 22,Kabupaten Minahasa Tenggara,3
46498437619,PPN Dalam Negeri,Kabupaten Minahasa Selatan,0
3103055322,PPN Lainnya,Kabupaten Bolaang Mongondow,1
11791987816,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Utara,0
52448499472,PPh Pasal 26,Kabupaten Kepulauan Talaud,3
95536688198,PPh Pasal 22,Kabupaten Minahasa Selatan,3
55954583354,Pajak Lainnya,Kabupaten Minahasa Utara,3
57274125862,Pendapatan PPh DTP,Kabupaten Kepulauan Sangihe,2
25672250422,PBB dan BPHTB,Kabupaten Bolaang Mongondow Selatan,3
92336938489,PPh Pasal 25/29 Badan,Kabupaten Minahasa Utara,3
83098666286,PPN Impor,Kabupaten Minahasa,3
1364827516,PPN Lainnya,Kabupaten Minahasa,3
34882184595,PPh Migas,Kota Tomohon,0
49862461583,PPh Pasal 22,Kabupaten Kepulauan Sangihe,3
59009467728,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow Utara,3
82922909609,PPh Pasal 22,Kabupaten Siau Tagulandang Biaro,3
64015925790,PPh Pasal 23,Kabupaten Minahasa Utara,3
81931842371,PPN Dalam Negeri,Kota Bitung,0
51603784603,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Timur,0
64410885171,PBB dan BPHTB,Kabupaten Kepulauan Sangihe,2
93872889378,PPN Lainnya,Kabupaten Minahasa,3
97775725832,PPh Pasal 25/29 Badan,Kabupaten Kepulauan Sangihe,2
99679791742,PPh Final,Kota Tomohon,2
13298033374,Pajak Lainnya,Kabupaten Kepulauan Sangihe,1
51230083471,PPh Migas,Kabupaten Kepulauan Talaud,3
93285192954,PPh Pasal 22,Kota Kotamobagu,3
59117618022,PPh Pasal 25/29 OP,Kabupaten Minahasa Tenggara,6
83563396775,PPh Pasal 21,Kabupaten Minahasa Selatan,5
40135956525,PPh Pasal 22 Impor,Kabupaten Minahasa Tenggara,6
38949339226,Pendapatan PPh DTP,Kabupaten Bolaang Mongondow Selatan,3
92520040305,PPh Pasal 23,Kabupaten Minahasa Tenggara,6
23059689600,PPh Pasal 25/29 Badan,Kabupaten Minahasa Selatan,3
1179671928,Pendapatan PPh DTP,Kabupaten Minahasa Tenggara,3
56060777557,Pendapatan PPh DTP,Kabupaten Minahasa Selatan,3
30948349113,Pendapatan PPh DTP,Kabupaten Kepulauan Talaud,3
79639125790,PPh Pasal 22 Impor,Kota Bitung,3
38925712160,PPh Pasal 25/29 Badan,Kota Kotamobagu,2
82164929849,PBB dan BPHTB,Kota Kotamobagu,3
44712576674,PPN Lainnya,Kabupaten Minahasa Selatan,3
99961398249,PPh Pasal 22,Kabupaten Minahasa Utara,3
88379702658,PPnBM Lainnya,Kabupaten Minahasa,3
12059364036,Pendapatan PPh DTP,Kabupaten Kepulauan Talaud,3
80916207344,PBB dan BPHTB,Kabupaten Bolaang Mongondow Utara,3
76680225480,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Timur,9
55797501998,PPh Final,Kota Tomohon,2
51355303210,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Utara,5
19543561517,PPh Pasal 23,Kota Kotamobagu,3
16224996642,PBB dan BPHTB,Kabupaten Bolaang Mongondow Utara,3
22703369312,PPh Pasal 25/29 Badan,Kota Kotamobagu,2
7834274740,PPh Final,Kota Tomohon,2
38533279651,PPh Final,Kabupaten Kepulauan Talaud,2
7357794310,Pajak Lainnya,Kota Tomohon,1
34934267762,PPh Pasal 26,Kabupaten Bolaang Mongondow,1
52113026400,PBB dan BPHTB,Kota Bitung,3
70824290270,PPh Pasal 22,Kabupaten Bolaang Mongondow Timur,3
67625706651,PPh Final,Kabupaten Minahasa Selatan,2
47336818548,PPnBM Lainnya,Kota Kotamobagu,1
19841514608,Pajak Lainnya,Kabupaten Bolaang Mongondow Selatan,3
51458026819,PPh Pasal 23,Kabupaten Kepulauan Talaud,3
31719309984,PPh Pasal 22,Kabupaten Bolaang Mongondow Timur,3
60897319836,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow,1
64835844674,PPh Pasal 21,Kabupaten Minahasa Utara,5
62271182202,PBB dan BPHTB,Kota Bitung,3
76676346805,PPN Impor,Kabupaten Bolaang Mongondow,1
85727005630,PPh Pasal 25/29 Badan,Kota Tomohon,0
46843643058,PPh Pasal 21,Kabupaten Minahasa,5
40285921538,PPh Migas,Kota Kotamobagu,1
34455021067,PPh Final,Kabupaten Siau Tagulandang Biaro,2
12884664378,PPh Final,Kabupaten Kepulauan Sangihe,2
23468118453,PPh Pasal 22,Kabupaten Bolaang Mongondow Timur,3
67199905987,PPh Pasal 22,Kabupaten Bolaang Mongondow Selatan,3
29237727894,Pajak Lainnya,Kabupaten Minahasa Tenggara,6
10407060422,PPh Pasal 26,Kabupaten Minahasa Tenggara,3
58985668597,PPh Pasal 22 Impor,Kota Kotamobagu,1
49195679116,PPh Pasal 23,Kabupaten Minahasa Selatan,3
36703266684,PPh Pasal 23,Kabupaten Minahasa,3
72669697167,PPh Pasal 22 Impor,Kabupaten Minahasa Utara,3
54622087830,PPh Final,Kabupaten Kepulauan Sangihe,2
48244894795,Pendapatan PPh DTP,Kota Bitung,3
70759095560,PPh Final,Kabupaten Kepulauan Sangihe,2
8741467209,PPh Migas,Kabupaten Minahasa Selatan,3
26409232014,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow Timur,3
75440673825,PPh Pasal 23,Kabupaten Siau Tagulandang Biaro,3
88362257883,PPnBM Lainnya,Kabupaten Bolaang Mongondow Timur,9
88451635615,Pajak Lainnya,Kabupaten Minahasa Selatan,3
29176935331,PPN Lainnya,Kota Bitung,3
1518142326,PPN Lainnya,Kabupaten Minahasa Selatan,3
15727517031,PPN Lainnya,Kabupaten Bolaang Mongondow Selatan,3
15149969135,Pajak Lainnya,Kabupaten Minahasa Tenggara,6
4467153868,PPh Pasal 21,Kota Kotamobagu,5
31406083393,PPh Migas,Kabupaten Minahasa Utara,3
78289641376,PPh Pasal 21,Kabupaten Bolaang Mongondow Selatan,5
16809221142,PPN Lainnya,Kota Kotamobagu,1
56120471078,PPh Pasal 23,Kabupaten Minahasa,3
19907720770,PPh Pasal 25/29 OP,Kabupaten Siau Tagulandang Biaro,3
55036874710,PPh Final,Kabupaten Kepulauan Talaud,2
37403929177,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow,1
26400911441,PPh Pasal 26,Kabupaten Minahasa Tenggara,3
47351646648,Pajak Lainnya,Kabupaten Minahasa Utara,3
37209852835,PPh Pasal 23,Kabupaten Kepulauan Talaud,3
6425707198,Pendapatan PPh DTP,Kabupaten Minahasa,3
85264114231,PPh Pasal 26,Kabupaten Bolaang Mongondow Utara,5
7085137955,PPh Pasal 25/29 OP,Kabupaten Kepulauan Talaud,3
26924256680,PBB dan BPHTB,Kabupaten Bolaang Mongondow,0
3564886550,PPh Pasal 23,Kota Kotamobagu,3
83709097398,PBB dan BPHTB,Kabupaten Kepulauan Sangihe,2
30369730478,PPh Pasal 22,Kabupaten Kepulauan Talaud,3
76890485197,PPh Pasal 21,Kabupaten Minahasa Tenggara,5
11270927448,PPh Pasal 26,Kabupaten Bolaang Mongondow,1
19262636216,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Timur,9
87801718739,PPh Pasal 25/29 Badan,Kota Bitung,3
44240424204,PPh Pasal 25/29 Badan,Kabupaten Minahasa,3
64538987481,Pajak Lainnya,Kabupaten Kepulauan Sangihe,1
5920946925,PBB dan BPHTB,Kabupaten Kepulauan Talaud,3
85638228088,PPh Pasal 26,Kota Tomohon,1
58554977399,PPnBM Lainnya,Kabupaten Kepulauan Sangihe,2
78413775509,PPh Pasal 26,Kabupaten Minahasa Utara,3
43494582847,PPh Final,Kabupaten Bolaang Mongondow Timur,2
60683865256,PPnBM Lainnya,Kota Kotamobagu,1
75824213234,PPN Impor,Kota Tomohon,0
4497952764,PPh Final,Kabupaten Bolaang Mongondow Timur,2
65730240446,PPN Dalam Negeri,Kota Tomohon,0
4605607968,PPh Pasal 22 Impor,Kabupaten Kepulauan Sangihe,2
2336857980,PPN Lainnya,Kabupaten Bolaang Mongondow,1
91023079004,PPN Dalam Negeri,Kabupaten Bolaang Mongondow,0
77062994350,PPh Pasal 22 Impor,Kabupaten Minahasa Selatan,3
17815238358,Pendapatan PPh DTP,Kabupaten Kepulauan Sangihe,2
66804525996,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow,1
93924658395,PPh Final,Kabupaten Minahasa Selatan,2
97509074613,PPh Pasal 23,Kabupaten Minahasa Selatan,3
72327097274,PPh Final,Kabupaten Bolaang Mongondow Selatan,2
23267079672,PPh Migas,Kabupaten Minahasa Selatan,3
50611614090,PPh Pasal 25/29 Badan,Kota Kotamobagu,2
48985058611,PPnBM Lainnya,Kabupaten Bolaang Mongondow Utara,5
31242890072,Pendapatan PPh DTP,Kabupaten Bolaang Mongondow Selatan,3
89769554268,PPh Final,Kabupaten Kepulauan Sangihe,2
41878165198,PPN Dalam Negeri,Kabupaten Kepulauan Talaud,0
28557922316,Pendapatan PPh DTP,Kabupaten Minahasa Tenggara,3
93792824766,PPh Pasal 25/29 OP,Kabupaten Minahasa Selatan,3
33150090999,PPh Pasal 25/29 OP,Kabupaten Minahasa Selatan,3
64669719589,PPN Lainnya,Kabupaten Bolaang Mongondow Selatan,3
1315712158,PPh Pasal 21,Kabupaten Bolaang Mongondow Selatan,5
28921231728,PPN Dalam Negeri,Kota Tomohon,0
51212869101,PBB dan BPHTB,Kabupaten Bolaang Mongondow Selatan,3
82049841982,PPh Migas,Kabupaten Minahasa Selatan,3
33500778832,PBB dan BPHTB,Kabupaten Kepulauan Sangihe,2
51589209365,PPh Pasal 26,Kabupaten Minahasa Selatan,3
89341143804,PPh Pasal 21,Kabupaten Minahasa Tenggara,5
2007787247,PPnBM Lainnya,Kabupaten Kepulauan Sangihe,2
46622515435,PPh Pasal 25/29 OP,Kota Tomohon,1
31725924635,PPh Pasal 26,Kota Tomohon,1
85535280890,PPh Migas,Kabupaten Minahasa Selatan,3
8980727620,PPh Pasal 26,Kabupaten Minahasa Tenggara,3
72871645468,PPN Lainnya,Kabupaten Kepulauan Sangihe,2
2544287451,PPh Migas,Kabupaten Kepulauan Sangihe,2
52306057898,PPN Impor,Kabupaten Minahasa Selatan,3
99332835346,PPh Pasal 22 Impor,Kabupaten Siau Tagulandang Biaro,3
53988834952,Pendapatan PPh DTP,Kabupaten Kepulauan Sangihe,2
92319117503,PPN Dalam Negeri,Kota Bitung,0
13921478241,Pendapatan PPh DTP,Kabupaten Bolaang Mongondow Selatan,3
92849210803,PPh Pasal 21,Kabupaten Minahasa Tenggara,5
58151988288,PPh Migas,Kabupaten Kepulauan Talaud,3
9201274137,PPh Final,Kabupaten Minahasa Selatan,2
95698173786,PPh Pasal 23,Kabupaten Kepulauan Talaud,3
36713585806,PPnBM Lainnya,Kabupaten Siau Tagulandang Biaro,4
86153400013,PPN Impor,Kabupaten Minahasa Tenggara,3
16824874084,PPh Pasal 22 Impor,Kabupaten Kepulauan Sangihe,2
16910961177,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Utara,0
61048526077,PPh Pasal 21,Kabupaten Minahasa,5
59564748327,PPh Pasal 25/29 OP,Kabupaten Minahasa Tenggara,6
65131428851,PPh Pasal 25/29 OP,Kota Kotamobagu,7
14647696773,PPN Impor,Kota Tomohon,0
86870081310,PBB dan BPHTB,Kabupaten Kepulauan Sangihe,2
44630043252,PPh Final,Kabupaten Bolaang Mongondow Utara,2
93829632370,Pajak Lainnya,Kabupaten Minahasa Utara,3
21597403569,PPh Migas,Kabupaten Kepulauan Sangihe,2
76327297127,PPh Pasal 25/29 OP,Kabupaten Minahasa Tenggara,6
79632617659,PPh Pasal 22,Kabupaten Bolaang Mongondow Utara,5
14434996336,PPN Lainnya,Kabupaten Kepulauan Sangihe,2
37547301491,PPN Impor,Kota Bitung,3
99488337607,PBB dan BPHTB,Kabupaten Bolaang Mongondow Selatan,3
20890594293,PPh Pasal 26,Kabupaten Minahasa,3
96844128822,PPh Pasal 23,Kabupaten Minahasa Tenggara,6
82091075057,PPh Pasal 22 Impor,Kabupaten Siau Tagulandang Biaro,3
31262721877,PPN Lainnya,Kabupaten Minahasa Selatan,3
17678538030,PPh Pasal 22,Kabupaten Kepulauan Talaud,3
84572055911,PBB dan BPHTB,Kabupaten Bolaang Mongondow,0
69579619830,PPh Final,Kabupaten Minahasa Selatan,2
74279771637,PPN Dalam Negeri,Kabupaten Minahasa Utara,0
38526399292,PPN Impor,Kabupaten Minahasa Selatan,3
72811511591,Pajak Lainnya,Kabupaten Bolaang Mongondow Selatan,3
61207819531,PPN Dalam Negeri,Kabupaten Bolaang Mongondow,0
51132422783,PPh Pasal 23,Kabupaten Bolaang Mongondow Selatan,6
1782205068,PPh Pasal 26,Kabupaten Minahasa Tenggara,3
32899472378,PPh Pasal 21,Kabupaten Minahasa,5
4449715102,Pendapatan PPh DTP,Kabupaten Minahasa Selatan,3
77986900604,PPh Final,Kabupaten Bolaang Mongondow Utara,2
30380365679,PPh Pasal 25/29 OP,Kota Tomohon,1
26042238529,PPh Pasal 23,Kota Tomohon,5
71351566302,PPh Pasal 22,Kabupaten Siau Tagulandang Biaro,3
54378943636,Pendapatan PPh DTP,Kabupaten Minahasa Utara,3
60001233878,PPh Pasal 22 Impor,Kabupaten Minahasa Tenggara,6
31682440973,PPh Pasal 22 Impor,Kabupaten Minahasa Selatan,3
93163436424,PPN Lainnya,Kabupaten Bolaang Mongondow Selatan,3
69320023605,PPh Pasal 26,Kota Bitung,3
97276753479,PPh Pasal 22 Impor,Kabupaten Bolaang Mongondow Timur,9
58225396476,PPh Pasal 25/29 Badan,Kabupaten Kepulauan Sangihe,2
65214694713,PPN Lainnya,Kabupaten Kepulauan Talaud,3
1348592780,PPnBM Lainnya,Kabupaten Bolaang Mongondow Utara,5
42241949391,PPN Lainnya,Kabupaten Bolaang Mongondow Selatan,3
4628076410,Pajak Lainnya,Kabupaten Bolaang Mongondow Selatan,3
38727961052,PPh Pasal 23,Kabupaten Minahasa Tenggara,6
62549981479,PPh Pasal 22 Impor,Kota Kotamobagu,1
42932506662,PPh Pasal 26,Kabupaten Bolaang Mongondow,1
87066566537,PPh Pasal 26,Kabupaten Minahasa Utara,3
36292707581,PBB dan BPHTB,Kabupaten Bolaang Mongondow Timur,3
42218530526,PPN Dalam Negeri,Kabupaten Bolaang Mongondow Selatan,0
63111701667,PPh Pasal 25/29 Badan,Kabupaten Kepulauan Sangihe,2
9531618896,PPh Pasal 25/29 OP,Kota Kotamobagu,7
48559557743,Pajak Lainnya,Kabupaten Kepulauan Sangihe,1
11993147525,PPh Pasal 23,Kabupaten Minahasa Tenggara,6
76542321104,Pendapatan PPh DTP,Kabupaten Bolaang Mongondow Utara,5
38798379236,PPnBM Lainnya,Kabupaten Bolaang Mongondow Utara,5
22469321734,PPN Lainnya,Kabupaten Minahasa Selatan,3
84322313224,PPN Dalam Negeri,Kota Tomohon,0
56435216283,PPh Pasal 25/29 OP,Kabupaten Bolaang Mongondow Timur,9
48407378027,PBB dan BPHTB,Kabupaten Minahasa Tenggara,3
15189905520,PPh Pasal 25/29 Badan,Kabupaten Bolaang Mongondow Utara,3
25904125645,PPh Pasal 26,Kabupaten Kepulauan Sangihe,1
